#bandwidth,  adjmatrix [s],    adjlist [s]
         1,   4.681211e-03,   3.139820e-03
        49,   4.821899e-03,   6.041620e-03
        99,   5.010710e-03,   8.953738e-03
       149,   5.241880e-03,   1.198319e-02
       199,   5.364501e-03,   1.491131e-02
       249,   5.494449e-03,   1.742091e-02
       299,   5.669529e-03,   2.029247e-02
       349,   5.795820e-03,   2.331074e-02
       399,   5.887330e-03,   2.667437e-02
       449,   6.142418e-03,   3.026265e-02
       499,   6.572170e-03,   3.105054e-02
       549,   7.571981e-03,   3.451420e-02
       599,   7.779210e-03,   3.624901e-02
       649,   7.910810e-03,   4.138455e-02
       699,   7.991080e-03,   4.131664e-02
       749,   8.450658e-03,   4.594067e-02
       799,   8.311610e-03,   4.743380e-02
       849,   1.001782e-02,   5.627777e-02
       899,   8.658061e-03,   5.353877e-02
       949,   8.616259e-03,   5.152169e-02
       999,   8.732660e-03,   5.515914e-02
      1049,   8.879280e-03,   5.775581e-02
      1099,   8.972809e-03,   5.768677e-02
      1149,   9.024971e-03,   6.346710e-02
      1199,   9.218671e-03,   6.316629e-02
      1249,   9.190950e-03,   6.429107e-02
      1299,   9.418120e-03,   6.328399e-02
      1349,   9.523621e-03,   6.786396e-02
      1399,   9.359052e-03,   7.127582e-02
      1449,   9.438641e-03,   6.471601e-02
      1499,   9.547071e-03,   9.257023e-02
      1549,   9.506311e-03,   7.265190e-02
      1599,   9.518561e-03,   7.715856e-02
      1649,   9.562769e-03,   7.335873e-02
      1699,   9.866669e-03,   7.644066e-02
      1749,   9.655349e-03,   7.943776e-02
      1799,   9.907510e-03,   7.712772e-02
      1849,   9.995451e-03,   6.966791e-02
      1899,   1.170142e-02,   7.090461e-02
      1949,   1.377319e-02,   7.555402e-02
